ENGLISH CATEGORY,中文類別,ENGLISH NAME,中文名稱,NORTHING,EASTING,ENGLISH ADDRESS,中文地址,TELEPHONE,FAX NUMBER,OPENING HOURS,EMAIL ADDRESS,WEBSITE
Aided Primary Schools,資助小學,FRESH FISH TRADERS' SCHOOL,鮮魚行學校,820626,834948,33 SYCAMORE STREET TAI KOK TSUI KOWLOON,九龍大角咀詩歌舞街33號,23938958,23966702,,,http://www.ffts.edu.hk
Aided Primary Schools,資助小學,CUHKFAA THOMAS CHEUNG SCHOOL,香港中文大學校友會聯會張?昌學校,824627,835815,KA TIN COURT HIN KENG ESTATE SHATIN NEW TERRITORIES,新界沙田顯徑?嘉田苑,26931898,26936538,,,http://www.tcps.edu.hk
Aided Primary Schools,資助小學,AD&FDPOHL MRS CHENG YAM ON SCHOOL,博愛醫院歷屆總理聯誼會鄭任安夫人學校,828085,815871,3 TUEN LEE STREET TUEN MUN NEW TERRITORIES,新界屯門屯利街3號,24512333,26183120,,,http://www.mcyos.edu.hk
Aided Primary Schools,資助小學,LI SING TAI HANG SCHOOL,李陞大坑學校,815376,838025,73 WUN SHA STREET TAI HANG HONG KONG,香港大坑浣紗街73號,25775188,28824510,,,http://www.lsths.edu.hk
Aided Primary Schools,資助小學,SUNG TAK WONG KIN SHEUNG MEMORIAL SCHOOL,大埔崇德黃建常紀念學校,834387,835496,TUNG CHEONG STREET TAI PO NEW TERRITORIES,新界大埔東昌街,26535565,26562856,,,http://wks.hkcampus.net/
Aided Primary Schools,資助小學,BISHOP FORD MEMORIAL SCHOOL,福德學校,821782,837623,PUI MAN VILLAGE TUNG TAU TSUEN KOWLOON,九龍東頭?培民村,23360206,23368325,,,http://www.bfordms.edu.hk
Aided Primary Schools,資助小學,PLK TIN KA PING PRIMARY SCHOOL,保良局田家炳小學,833561,835247,"AREA 6, WAN TAU TONG ESTATE TAI PO NEW TERRITORIES",新界大埔第六區運頭塘?,26521222,26518832,,,http://www.plktkp.edu.hk
Aided Primary Schools,資助小學,CHI HONG PRIMARY SCHOOL,慈航學校,827000,838351,1 YUEN CHEONG LANE SHATIN NEW TERRITORIES,新界沙田源昌里1號,26486834,26364129,,,http://www.chihong.edu.hk
Aided Primary Schools,資助小學,SKH TIN SHUI WAI LING OI PRIMARY SCHOOL,聖公會天水圍靈愛小學,836496,818174,"PRIMARY SCHOOL 1 AREA 111 TIN SHUI WAI, YUEN LONG NEW TERRITORIES",新界元朗天水圍第111區第1座小學校舍,24461633,24461630,,,http://www.tswlingoi.edu.hk/
Aided Primary Schools,資助小學,CCC TAI O PRIMARY SCHOOL,中華基督教會大澳小學,812876,803778,"24-26 MARKET STREET, TAI O LANTAU ISLAND NEW TERRITORIES",新界大嶼山大澳街市街24-26號,29857515,29857907,,,http://www.ccctaiops.edu.hk
Aided Primary Schools,資助小學,HOLY CARPENTER PRIMARY SCHOOL,聖匠小學,819702,837907,14 KWEI CHOW STREET KOWLOON,九龍貴州街14號,23332313,23647757,,,http://www.hcps.edu.hk
Aided Primary Schools,資助小學,FREE METHODIST BRADBURY CHUN LEI PRI SCH,循理會白普理基金循理小學,825708,836712,SUN CHUI ESTATE SHATIN NEW TERRITORIES,新界沙田新翠?,26057755,26020092,,,http://www.chunlei.edu.hk
Aided Primary Schools,資助小學,PO YAN OBLATE PRIMARY SCHOOL,獻主會溥仁小學,821421,837878,BLK 22 TUNG TAU ESTATE WONG TAI SIN KOWLOON,九龍黃大仙東頭?第22座,23823474,23834403,,,http://www.poyan.edu.hk
Aided Primary Schools,資助小學,SACRED HEART CANOSSIAN SCHOOL(WHOLE DAY),嘉諾撒聖心學校(全日),815707,833861,26 CAINE ROAD CENTRAL HONG KONG,香港中環堅道26號,25248679,28698154,,,http://www.shcs.edu.hk
Aided Primary Schools,資助小學,LING TO CATHOLIC PRIMARY SCHOOL,天主教領島學校,819531,836515,CHUN MAN COURT OI MAN ESTATE HOMANTIN KOWLOON,九龍何文田愛民?俊民苑,27139234,27142640,,,http://www.lingto.edu.hk
Aided Primary Schools,資助小學,TWGH LO YU CHIK PRIMARY SCHOOL,東華三院羅裕積小學,819485,835685,51 PITT STREET YAUMATEI KOWLOON,九龍油麻地碧街51號,27800039,23841605,,,http://www.twghlycp.edu.hk
Aided Primary Schools,資助小學,CHAN'S CREATIVE SCHOOL (HONG KONG ISLAND),啟基學校(港島),817030,838923,82 MARBLE ROAD NORTH POINT HONG KONG,香港北角馬寶道82號,25614302,25610839,,,http://www.ccshki.edu.hk
Aided Primary Schools,資助小學,CHING CHUNG HAU PO WOON PRIMARY SCHOOL,青松侯寶垣小學,816634,812256,FU TUNG ESTATE TUNG CHUNG LANTAU ISLAND NEW TERRITORIES,新界大嶼山東涌富東?,21090070,21090013,,,http://www.cchpwps.edu.hk
Aided Primary Schools,資助小學,TAK SUN SCHOOL,德信學校,818326,835799,103 AUSTIN ROAD AND 3/F & PORTION OF 4/F REAR BUILDING 103 AUSTIN ROAD KOWLOON,九龍柯士甸道103號及柯士甸道103號後座3樓及4樓部分,23674446,23661589,,,http://www.taksun.edu.hk
